 barcode ;Productos ;marca;Categoría;precio;stock;foto_url;foto_estado
 7.790.580.143.015 ;Chocolate AGUILA neg 60% naranja x100gr;AGUILA;Almacen;5942.00;27;https://www.google.com/search?tbm=isch&q=Chocolate+AGUILA+neg+60%+naranja+x100gr;
 7.790.070.760.494 ;Vino AIME cabernet x750cc;AIME;Almacen;5867.00;28;https://www.google.com/search?tbm=isch&q=Vino+AIME+cabernet+x750cc;
 7.790.070.760.500 ;Vino AIME malbec x750cc;AIME;Almacen;5867.00;29;https://www.google.com/search?tbm=isch&q=Vino+AIME+malbec+x750cc;
 7.790.070.760.487 ;Vino AIME red blend x750cc;AIME;Almacen;5867.00;30;https://www.google.com/search?tbm=isch&q=Vino+AIME+red+blend+x750cc;
 7.791.290.794.276 ;Detergente ALA limon x300ml;ALA;Almacen;1368.00;31;https://www.google.com/search?tbm=isch&q=Detergente+ALA+limon+x300ml;
 7.791.290.795.280 ;Jabon liq ALA CAMELLITO matic d/p x450ml;ALA;Almacen;3058.00;32;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+CAMELLITO+matic+d/p+x450ml;
 7.791.290.792.036 ;Jabon liq ALA matic ecolavado d/p x3lt;ALA;Almacen;7929.00;33;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+matic+ecolavado+d/p+x3lt;
 7.791.290.792.012 ;Jabon liq ALA matic ecolavado d/p x800ml;ALA;Almacen;2806.00;34;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+matic+ecolavado+d/p+x800ml;
 7.791.290.792.173 ;Jabon liq ALA matic eco vivere d/p x3lt;ALA;Almacen;10752.00;35;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+matic+eco+vivere+d/p+x3lt;
 7.791.290.792.869 ;Jabon liq ALA pro baja espuma x5lt;ALA;Almacen;15448.00;36;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+pro+baja+espuma+x5lt;
 7.791.290.792.043 ;Jabon liq ALA matic eco p/diluir x500ml;ALA;Almacen;6178.01;37;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+matic+eco+p/diluir+x500ml;
